imgUrl,title,author,length,releaseDate,language,rating,price,sampleVideo
https://m.media-amazon.com/images/I/51gLwOXuO3L._SL500_.jpg,Learn Spanish for the Workplace Collection 2-in-1,WanderGlobe Publishing,5 hrs and 40 mins,09-16-24,English,18 ratings,$19.95,https://samples.audible.com/bk/acx0/414040/bk_acx0_414040_sample.mp3
https://m.media-amazon.com/images/I/51D1dSahPuL._SL500_.jpg,Mind to Bend,Aurelia Knight,7 hrs and 25 mins,09-16-24,English,1 rating,$19.95,https://samples.audible.com/bk/acx0/413996/bk_acx0_413996_sample.mp3
https://m.media-amazon.com/images/I/51mMZnAznrL._SL500_.jpg,Hell's Wardens,pirateaba,26 hrs and 36 mins,11-12-24,English,Not rated yet,$59.99,
https://m.media-amazon.com/images/I/41YixPN3NjL._SL500_.jpg,Revenge of the Tipping Point,Malcolm Gladwell,8 hrs and 30 mins,10-01-24,English,Not rated yet,$19.24,
https://m.media-amazon.com/images/I/5160r89F5vL._SL500_.jpg,Resistance,Sean Oswald,14 hrs and 10 mins,10-29-24,English,Not rated yet,$25.00,
https://m.media-amazon.com/images/I/51dVyYLgnZL._SL500_.jpg,Scythe & Sparrow,Brynne Weaver,Not Yet Known,02-11-25,English,Not rated yet,$48.99,
https://m.media-amazon.com/images/I/41l036PUWJL._SL500_.jpg,The Boyfriend,Freida McFadden,9 hrs and 13 mins,10-01-24,English,Not rated yet,$20.00,
https://m.media-amazon.com/images/I/41IuEmA9RRL._SL500_.jpg,Temptation Trails,Claire Kingsley,11 hrs and 22 mins,09-12-24,English,120 ratings,$24.95,https://samples.audible.com/bk/acx0/412744/bk_acx0_412744_sample.mp3
https://m.media-amazon.com/images/I/515ReMdSYVL._SL500_.jpg,House of Sky and Breath (Part 2 of 2) (Dramatized Adaptation),Sarah J. Maas,11 hrs and 51 mins,09-26-24,English,Not rated yet,$29.39,
https://m.media-amazon.com/images/I/51Eodzw26yL._SL500_.jpg,Sunrise on the Reaping,Suzanne Collins,Not Yet Known,03-18-25,English,Not rated yet,$20.99,
https://m.media-amazon.com/images/I/51U1YdIpbPL._SL500_.jpg,Heroes of Fronstead,Zeke Urban,10 hrs,09-20-24,English,6 ratings,$25.00,https://samples.audible.com/bk/royg/000696/bk_royg_000696_sample.mp3
https://m.media-amazon.com/images/I/51z81zcO8NL._SL500_.jpg,Hockey Wife,Kate Meader,9 hrs and 36 mins,09-16-24,English,1 rating,$19.95,https://samples.audible.com/bk/acx0/413817/bk_acx0_413817_sample.mp3
https://m.media-amazon.com/images/I/51eSbp1HLJL._SL500_.jpg,Road to Mastery 4,Valerios,24 hrs and 9 mins,10-08-24,English,Not rated yet,$29.95,
https://m.media-amazon.com/images/I/51LP8U8J2XL._SL500_.jpg,The King of Frost and Shadows,Jen L. Grey,10 hrs and 26 mins,09-17-24,English,Not rated yet,$24.95,https://samples.audible.com/bk/acx0/413676/bk_acx0_413676_sample.mp3
https://m.media-amazon.com/images/I/51W-YyltpwL._SL500_.jpg,My Cottage Was Transferred to Another World Volume Omnibus,Sebastian Guzman,37 hrs and 58 mins,09-19-24,English,1 rating,$54.99,https://samples.audible.com/bk/royg/000729/bk_royg_000729_sample.mp3
https://m.media-amazon.com/images/I/51Hxebi8RWL._SL500_.jpg,Playground,Richard Powers,13 hrs and 51 mins,09-24-24,English,Not rated yet,$17.49,
https://m.media-amazon.com/images/I/51rQSmhyXjL._SL500_.jpg,Wind and Truth,Brandon Sanderson,55 hrs,12-06-24,English,Not rated yet,$47.24,
https://m.media-amazon.com/images/I/51Kw5cyyk5L._SL500_.jpg,Onyx Storm,Rebecca Yarros,14 hrs and 15 mins,01-21-25,English,Not rated yet,$31.49,
https://m.media-amazon.com/images/I/41HviSpSZ8L._SL500_.jpg,We Who Wrestle with God,Jordan B. Peterson,13 hrs,11-19-24,English,Not rated yet,$22.75,
https://m.media-amazon.com/images/I/51q+tPY2u7L._SL500_.jpg,Villain for Hire Omnibus 1,Jay Aury,21 hrs and 9 mins,09-17-24,English,4 ratings,$54.99,https://samples.audible.com/bk/royg/000719/bk_royg_000719_sample.mp3
https://m.media-amazon.com/images/I/51d4Oh0lmuL._SL500_.jpg,It's Just Business,Lauren Landish,10 hrs and 23 mins,09-09-24,English,5 ratings,$24.95,https://samples.audible.com/bk/acx0/414100/bk_acx0_414100_sample.mp3
https://m.media-amazon.com/images/I/51tbYmsaJ-L._SL500_.jpg,A Many-Threaded Tapestry,Olan Thorensen,24 hrs and 11 mins,10-29-24,English,Not rated yet,$49.99,
https://m.media-amazon.com/images/I/51oeMIDFZ2L._SL500_.jpg,Will Leave the Galaxy for Good,Yahtzee Croshaw,9 hrs and 50 mins,04-04-24,English,947 ratings,$29.95,https://samples.audible.com/or/orig/002346/or_orig_002346_sample.mp3
https://m.media-amazon.com/images/I/51VrgeJGvNL._SL500_.jpg,From Blood and Ash (Part 2 of 2) (Dramatized Adaptation),Jennifer L. Armentrout,7 hrs,09-30-24,English,Not rated yet,$20.99,
https://m.media-amazon.com/images/I/51rV-G0v7bL._SL500_.jpg,A Killer of Influence,JD Kirk,12 hrs and 29 mins,09-12-24,English,89 ratings,$24.95,https://samples.audible.com/bk/acx0/412685/bk_acx0_412685_sample.mp3
https://m.media-amazon.com/images/I/51JhMliW--L._SL500_.jpg,Good Boys 2: Unleashed,Jeremy Robinson,10 hrs and 30 mins,10-15-24,English,Not rated yet,$54.99,
https://m.media-amazon.com/images/I/51wXozerupL._SL500_.jpg,Nothing Heals Me Like You Do,Harper Bliss,7 hrs and 7 mins,09-13-24,English,5 ratings,$19.95,https://samples.audible.com/bk/acx0/413573/bk_acx0_413573_sample.mp3
https://m.media-amazon.com/images/I/51+BxY5gRbL._SL500_.jpg,Bonded in Death,J. D. Robb,10 hrs and 30 mins,02-04-25,English,Not rated yet,$20.78,
